id,title,slug,biography
33,"Barbara Smith",barbara-smith,"<p><P>Barbara Smith is the host of a syndicated television series and appears regularly on NBC's <I>Today</I> show. She owns three B. Smith's restaurants in New York City, Washington, D.C., and Sag Harbor, New York, and is the editor in chief of the newly launched magazine <I>B. Smith Style</I>. She lives in New York City and Sag Harbor.</p>"
34,"Mark Twain",mark-twain,"<p>Riverboat pilot, journalist, failed businessman (several times over): Samuel Clemens -- the man behind the figure of Mark Twain -- led many lives. But it was in his novels and short stories that he created a voice and an outlook on life that will be forever identified with the American character.</p>"
35,"Susan Wittig Albert",susan-wittig-albert,"<p>One of the book world's most respected authorities on herbs and their uses, Susan Wittig Albert is beloved by fans the world over for her mystery series starring herb-growing sleuth China Bayles -- as well as the Victorian Mysteries series she coauthors with husband Bill, under the pen name Robin Paige.</p>"
36,"Billy Collins",billy-collins,"<p>Enjoying a popularity unheard of for most poets, Billy Collins has had a remarkable late-life surge, aided by NPR exposure and his 2001 and 2002 appointments as the U.S. poet laureate. His style is engaging, conversational, funny, and surprising.</p>"
37,"Thomas Wolfe",thomas-wolfe,"<p>A larger than life figure -- like his contemporary, Ernest Hemingway -- Thomas Wolfe embodied a particularly American vision of the restless and eager writer, taking in the totality of his life experience and turning it into a gigantic, unwieldy vision in prose. With the publication of his semiautobiographical <i>Look Homeward, Angel</i> in 1929, Wolfe announced his dramatic entrance on the stage of modern fiction; but an early death made his exit sadly premature.</p>"
38,"Diane Fanning",diane-fanning,"<p><B>DIANE FANNING</B> is the author of <I>Written in Blood&#58;</I> <I>A True Story of Murder and a Deadly 16 Year-Old Secret that Tore a Family Apart</I>, <I>Through the Window&#58; The Terrifying True Story of Cross Country Killer Tommy Lynn Sells,</I> <I>Into the Water</I>&#58; <I>An Astonishing True Story of Abduction, Murder, and the Nice Guy Next Door,</I> and the co-editor of <I>Red Boots &amp; Attitude</I>. Fanning lives in New Braunfels, Texas.<BR><BR>Vist her Web site at&#58; www.dianefanning.com</p>"
39,"Salman Rushdie",salman-rushdie,"<p>One of the most celebrated writers of our time, SALMAN RUSHDIE is the author of ten previous novels&#151; <i>Grimus, Midnight's Children</i> (for which he won the Booker Prize in 1981, the Booker of Bookers in 1993, and, in 2008, the Best of the Booker), <i>Shame, The Satanic Verses, Haroun and the Sea of Stories, The Moor's Last Sigh, The Ground Beneath Her Feet, Fury, Shalimar the Clown</i>, and <i>The Enchantress of Florence</i>. He has also published four works of non-fiction, a collection of short stories, and edited two fiction anthologies. In June 2007, Rushdie was appointed a Knight Bachelor by Queen Elizabeth II for services to literature. He holds the rank Commandeur in the Ordre des Arts et des Lettres of France and began a five-year term as Distinguished Writer in Residence at Emory University in 2007. In May 2008, he was elected to the American Academy of Arts and Letters, and also in 2008, the London Times ranked Rushdie thirteenth on their list of ""The 50 greatest British writers since 1945"". For two years he served as president of The PEN American Center, the world's oldest human rights organization, and is the chair of PEN's World Voices Festival of International Literature, an annual literary festival he began in New York in 2001. Rushdie is currently working on the film version of <i>Midnight's Children</i>.</p>"
40,"Oscar Wilde",oscar-wilde,"<p>The ever-quotable Oscar Wilde once said, ""Anybody can make history. Only a great man can write it."" From his outsize celebrity in Victorian London to his authorship of fiction, drama, and poetry that uniquely captured his era, it's fair to say that Wilde succeeded on both counts.</p>"
41,"J. R. R. Tolkien",j-r-r-tolkien,"<p>It seems an unlikely formula for success: an Oxford professor of Anglo-Saxon, and a book that begins with a little man who lives in a hole in the ground. But <I>The Hobbit</I>, followed by <I>The Lord of the Rings</I>, created the modern genre of heroic fantasy and made J.R.R. Tolkien one of the most widely-read authors in the world.</p>"
42,"Maeve Binchy",maeve-binchy,"<p>As an author, Binchy's goal is simple: to let the story shine through. She told Oprah Winfrey, ""I do not have a particular literary style, I am not experimental ... I tell a story and I want to share it with my readers."" As a result, with her Ireland-set stories featuring strong heroines, friendship and romance, Binchy has gained quite a following since she became a bestselling author at age 43.</p>"
43,"Virginia Woolf",virginia-woolf,"<p>The early decades of the 20th century saw the rise of the experimental novel, and few writers had more success with their experiments than Virginia Woolf. Her innovative approach as a novelist, critic, and biographer made her an author who is even more widely read today than she was in her own time.</p>"
44,"John Carey",john-carey,"<p><P><b>John Carey</b> is Merton Professor of English at Oxford University, a distinguished critic, reviewer and broadcaster, and the author of several books, including <i>The Intellectuals and the Masses</i>.</p>"
45,"John Updike",john-updike,"<p>Best known for a series of novels featuring Harry ""Rabbit"" Angstrom, John Updike was one of the 20th century's most distinguished American authors. Over the course of his long, prolific career, he garnered numerous literary awards, including two coveted Pulitzer Prizes!</p>"
46,"Christopher Hitchens",christopher-hitchens,"<p>Chistopher Hitchens is a widely published polemicist and frequent radio and TV commentator. He is a contributing editor to <EM>Vanity Fair</EM> and a visiting professor of liberal studies at the New School in New York.</p>"
47,"Jack Canfield",jack-canfield,"<p>Motivational speaker Jack Canfield is the co-creator of the <I>Chicken Soup for the Soul</I> series. With over 65 books to his credit, Canfield has taken the inspirational advice he delivered in his speeches and forged one of the most popular book series in print.</p>"
48,"Otto Penzler",otto-penzler,"<p><P>Otto Penzler is the proprietor of The Mysterious Bookshop in New York City. He was publisher of <i>The Armchair Detective</i>, the founder of the Mysterious Press and the Armchair Detective Library, and created the publishing firm Otto Penzler Books. He is a recipient of an Edgar Award for <i>The Encyclopedia of Mystery</i> <i>and Detection</i> and the Ellery Queen Award by the Mystery Writers of America for his many contributions to the field. He is the editor of <i>The Vampire Archives</i> and <i>The Black Lizard Big Book of Pulps</i>, which was a <i>New York Times</i> bestseller.</p>"
49,"Marlo Thomas",marlo-thomas,"<p><P>Marlo Thomas graduated from the University of Southern California with a teaching degree. She is the author of five bestselling books, ""Free to Be ...You and Me, Free to Be...a Family, The Right Words at the Right Time, Thanks and Giving&#58; All Year Long, "" and ""The Right Words at the Right Time Volume 2&#58; Your Turn!"" Ms. Thomas has won four Emmy Awards, a Golden Globe, a Grammy, the Peabody Award, and has been inducted into the Broadcasting Hall of Fame for her work in television, including her starring role in the landmark series ""That Girl, "" which she also conceived and produced.</p>"
50,"Cathi Hanauer",cathi-hanauer,"<p><P>Cathi Hanauer, the author of the novel My Sister's Bones, has written articles, essays, reviews, and fiction for <i>Elle, Mirabella, Self, Glamour, Mademoiselle,</i> and many other magazines. She has been the monthly books columnist for both <i>Glamour</i> and <i>Mademoiselle,</i> and was the relationship-advice columnist for <i>Seventeen</i> for seven years. She lives in western Massachusetts with her husband, writer Daniel Jones, and their daughter and son.</p>"
51,"Victor Hugo",victor-hugo,"<p>""If a writer wrote merely for his time, I would have to break my pen and throw it away,"" the larger-than-life Victor Hugo once confessed. Indeed, this 19th-century French master's works -- from the epic drama <I>Les Misérables</I> to the classic unrequited love story <I>The Hunchback of Notre Dame</i> -- have spanned the ages, their themes of morality and redemption ever applicable to our times.</p>"
